"isin_cd","tck_iem_cd","fc_sec_krl_nm","fc_sec_eng_nm"
US8608971078,SFIX        ,"Stitch Fix, Inc.                                            ",Stitch Fix                                                  
US8287302009,SFNC        ,시몬스 퍼스트 내셔널                                                 ,Simmons First                                               
US03832J1060,SFR         ,Appreciate                                                  ,Appreciate                                                  
US8428731017,SFST        ,서던 퍼스트 뱅크셰어스                                                ,Southern First                                              
US82452T3059,SFT         ,Shift Tech                                                  ,Shift Tech                                                  
US78418A5056,SGBX        ,Safe & Green                                                ,Safe & Green                                                
US8683581024,SGC         ,슈피리어 그룹 오브 컴퍼니스                                             ,Superior Grp                                                
US81181C1045,SGEN        ,Seagen                                                      ,Seagen                                                      
KYG8232Y1017,SGH         ,스마트 글로벌 홀딩스                                                 ,Smart Glo Hldg                                              
US82657M1053,SGHT        ,Sight Sciences                                              ,Sight Sciences                                              
US82935V2088,SGLY        ,Singularity                                                 ,Singularity                                                 
CA8265991023,SGML        ,Sigma Lithium                                               ,Sigma Lithium                                               
US8006771062,SGMO        ,상가모 세러퓨틱스                                                   ,Sangamo                                                     
US86881A1007,SGRY        ,서저리 파트너스                                                    ,Surgery Partners                                            
US8251071051,SHBI        ,쇼어 뱅크셰어스                                                    ,Shore Banc                                                  
US83601L1026,SHC         ,Sotera Health US                                            ,Sotera Health US                                            
US81948W1045,SHCR        ,Sharecare                                                   ,Sharecare                                                   
US82312B1061,SHEN        ,셰난도아 텔레커뮤니케이션스                                              ,Shenandoah Tele                                             
US8244301029,SHFS        ,SHF Holdings                                                ,SHF Holdings                                                
MHY737604006,SHIP        ,Seanergy                                                    ,Seanergy                                                    
US82489W1071,SHLS        ,Shoals Tech                                                 ,Shoals Tech                                                 
US5562691080,SHOO        ,스티븐 매든                                                      ,Steven Madden                                               
US8256932034,SHPH        ,Shuttle Pharmace                                            ,Shuttle Pharmace                                            
US8256981031,SHYF        ,Spartan Motors                                              ,Shyft Group                                                 
US8257041090,SIBN        ,"SI-BONE, Inc.                                               ",SI-BONE                                                     
US8261651025,SIDU        ,Sidus Space                                                 ,Sidus Space                                                 
US82621J2042,SIEN        ,Sientra                                                     ,Sientra                                                     
US82655M1071,SIFY        ,Sify Technologies Limited                                   ,Sify Tech                                                   
US8163001071,SIGI        ,셀렉티브 인슈어런스 그룹                                               ,Selective Ins                                               
US82710M1009,SILK        ,Silk Road Med                                               ,Silk Road Med                                               
US82711P2011,SILO        ,Silo Pharma                                                 ,Silo Pharma                                                 
US82706C1080,SIMO        ,실리콘 모션 테크놀로지                                                ,Silicon Mtn Tec                                             
US8293926049,SINT        ,SINTX Tech                                                  ,SINTX Tech                                                  
US82968B1035,SIRI        ,시리우스 XM 홀딩스                                                 ,Sirius XM Holdgs                                            
US8245673095,SISI        ,Shineco                                                     ,Shineco                                                     
US82982T1060,SITM        ,SiTime Corp                                                 ,SiTime                                                      
VGG7864D1125,SJ          ,Wealthbridge                                                ,Scienjoy Holding                                            
US88331L1089,SKIN        ,Beauty Health                                               ,Beauty Health                                               
US83089J1088,SKYT        ,Skywater Tech                                               ,Skywater Tech                                               
US8308791024,SKYW        ,스카이웨스트                                                      ,SkyWest                                                     
US78471E1055,SKYX        ,SKYX Platforms                                              ,SKYX Platforms                                              
US8269191024,SLAB        ,실리콘 래버러토리스                                                  ,Silicon Labs                                                
US83422E2046,SLDB        ,Solid Bioscience                                            ,Solid Bioscience                                            
US83422N1054,SLDP        ,Solid Power                                                 ,Solid Power                                                 
US83444K1051,SLGC        ,Somalogic                                                   ,Somalogic                                                   
US86804F2020,SLGG        ,Super League Gam                                            ,Super League                                                
IL0011417206,SLGL        ,Sol-Gel Technologies Ltd                                    ,Sol Gel Tech                                                
US78442P1066,SLM         ,SLM                                                         ,SLM                                                         
US82686Q1013,SLN         ,Silence                                                     ,Silence                                                     
GB00BQ1MW662,SLNA        ,Selina                                                      ,Selina                                                      
US85236P1012,SLNG        ,Stabilis Soln                                               ,Stabilis Soln                                               
US5835431033,SLNH        ,Soluna Holdings                                             ,Soluna Holdings                                             
US8342033094,SLNO        ,Soleno                                                      ,Soleno                                                      
US79400X3052,SLRX        ,Flex Pharma                                                 ,Salarius                                                    
US81642T2096,SLS         ,Sellas                                                      ,Sellas                                                      
US8433801060,SMBC        ,서던 미주리 뱅코프                                                  ,Southern Mo                                                 
US83190L2088,SMBK        ,스마트파이낸셜                                                     ,SmartFinancial                                              
US86800U1043,SMCI        ,Super Micro Comp                                            ,Super Micro Comp                                            
US83204U4004,SMFL        ,Smart for Life                                              ,Smart for Life                                              
US86627T1088,SMMT        ,서밋                                                          ,Summit                                                      
US82900L1026,SMPL        ,심플리 굿 푸즈                                                    ,Simply Good Food                                            
US8321542073,SMSI        ,스미스 마이크로 소프트웨어                                              ,Smith Micro Soft                                            
US8168501018,SMTC        ,셈텍                                                          ,Semtech                                                     
US79957L1008,SMTI        ,Sanara Medtech                                              ,Sanara Medtech                                              
US8636852027,SNAX        ,Stryve Foods                                                ,Stryve Foods                                                
US83125X1037,SNBR        ,슬립넘버                                                        ,Sleep No                                                    
US8086441081,SNCE        ,Science 37 Hldg                                             ,Science 37 Hldg                                             
US87157B1035,SNCR        ,싱크로노스 테크놀로지스                                                ,Synchronoss Tech                                            
US87157B3015,SNCRL       ,SYNCHRONOSS TECHNOL 8 375 SNR NTS                           ,SYNCHRONOSS TECHNOL 8 375 SNR NTS                           
US8666831057,SNCY        ,Sun Country                                                 ,Sun Country                                                 
US83191H1077,SND         ,스마트 샌드                                                      ,Smart Sand                                                  
CA83307B1013,SNDL        ,SNDL                                                        ,SNDL                                                        
US81720R4065,SNES        ,Senestech                                                   ,Senestech                                                   
US8618961085,SNEX        ,Stonex Group                                                ,Stonex Group                                                
US8342235053,SNGX        ,Soligenix                                                   ,Soligenix                                                   
US83558L2043,SNOA        ,Sonoma Pharms                                               ,Sonoma Pharms                                               
US83303Y1055,SNPO        ,Snap One Holding                                            ,Snap One Holding                                            
US8716071076,SNPS        ,시놉시스                                                        ,Synopsys                                                    
US87167T2015,SNPX        ,Synaptogenix                                                ,Synaptogenix                                                
US81728A1088,SNSE        ,Sensei                                                      ,Sensei                                                      
IL0010829161,SNT         ,Senstar Tech                                                ,Senstar Tech                                                
KYG8062B1142,SNTG        ,Sentage Holdings                                            ,Sentage Holdings                                            
US81726A1007,SNTI        ,Senti Bioscience                                            ,Senti Bioscience                                            
US80105N1054,SNY         ,사노피                                                         ,Sanofi FR                                                   
US8335922071,SOBR        ,Sobr Safe                                                   ,Sobr Safe                                                   
US83406F1021,SOFI        ,SoFi Tech                                                   ,SoFi Tech                                                   
